species,rating,ability,hidden_ability,nature,held_item,ev_hp,ev_attack,ev_defense,ev_special_attack,ev_special_defense,ev_speed,attack_0,attack_1,attack_2,attack_3,hidden_power_type
SANDAMER,2,0,false,HART,PUDERSAND,4,252,0,0,0,252,ERDBEBEN,DURCHBRUCH,DUNKELKLAUE,AERO_ASS,PFLANZE
SANDAMER,1,0,false,PFIFFIG,UEBERRESTE,252,4,252,0,0,0,SCHAUFLER,SCHUTZSCHILD,TOXIN,FLUCH,PFLANZE
SANDAMER,2,0,false,PFIFFIG,OFFENSIVWESTE,252,4,252,0,0,0,SCHWERTTANZ,STEINKANTE,ERDBEBEN,GIFTHIEB,PFLANZE
NIDOQUEEN,4,0,false,HART,OFFENSIVWESTE,4,252,0,0,0,252,ERDBEBEN,GIFTHIEB,KRAFTKOLOSS,STEINKANTE,PFLANZE
NIDOQUEEN,3,0,false,MAESSIG,WAHLGLAS,4,0,0,252,0,252,ERDKRAEFTE,MATSCHBOMBE,EISSTRAHL,DONNERBLITZ,PFLANZE
NIDOQUEEN,2,0,false,HART,GIFTSCHLEIM,252,252,4,0,0,0,TOXIN,KONTER,ERDBEBEN,DONNERSCHLAG,PFLANZE
NIDOQUEEN,2,0,false,HART,WAHLBAND,252,252,4,0,0,0,WUTANFALL,STAERKE,NASSSCHWEIF,EISHIEB,PFLANZE
NIDOQUEEN,1,0,false,FRECH,GROSSLINSE,0,252,4,252,0,0,DONNER,BLIZZARD,ERDBEBEN,WUCHTSCHLAG,PFLANZE
NIDOQUEEN,2,0,false,PFIFFIG,MARONBEERE,252,4,252,0,0,0,HORNBOHRER,DOPPELTEAM,ERHOLUNG,SCHLAFREDE,PFLANZE
NIDOKING,3,0,false,HART,WAHLBAND,252,252,4,0,0,0,VIELENDER,ERDBEBEN,GIFTHIEB,STEINKANTE,PFLANZE
NIDOKING,3,0,false,FROH,WAHLSCHAL,4,252,0,0,0,252,ZERSCHNEIDER,ERDBEBEN,GIFTHIEB,RISIKOTACKLE,PFLANZE
NIDOKING,1,0,false,FROH,GIFTSCHLEIM,252,4,252,0,0,0,GIFTHIEB,TOXIN,GEOFISSUR,SUPERZAHN,PFLANZE
NIDOKING,2,0,false,PFIFFIG,MARONBEERE,252,4,252,0,0,0,DOPPELTEAM,ERHOLUNG,GEOFISSUR,HORNBOHRER,PFLANZE
NIDOKING,1,0,false,MAESSIG,OFFENSIVWESTE,252,0,0,252,0,4,DONNER,FEUERSTURM,BLIZZARD,ERDKRAEFTE,PFLANZE
NIDOKING,2,0,false,PFIFFIG,OFFENSIVWESTE,252,252,0,0,0,4,KONTER,TOXIN,ERDBEBEN,GIFTHIEB,PFLANZE
VULNONA,3,0,true,MAESSIG,SONNEN_EI,4,0,0,252,0,252,SOLARSTRAHL,FEUERSTURM,FINSTERAURA,SONDERSENSOR,PFLANZE
VULNONA,1,0,false,SCHEU,HOLZKOHLE,4,0,0,252,0,252,SPUKBALL,FLAMMENWURF,HYPNOSE,ANZIEHUNG,PFLANZE
VULNONA,1,0,false,HART,LEBEN_ORB,4,252,0,0,0,252,FLAMMENBLITZ,EISENSCHWEIF,RUCKZUCKHIEB,RISIKOTACKLE,PFLANZE
VULNONA,2,0,false,KUEHN,UEBERRESTE,252,0,0,252,0,4,IRRLICHT,REFLEKTOR,HYPNOSE,HITZEWELLE,PFLANZE
IKSBAT,3,0,false,FROH,GIFTSCHLEIM,4,252,0,0,0,252,STURZFLUG,GIFTHIEB,STAHLFLUEGEL,ZEN_KOPFSTOSS,PFLANZE
IKSBAT,1,0,false,HART,GROSSLINSE,4,252,0,0,0,252,HYPNOSE,DOPPELTEAM,AERO_ASS,GIFTZAHN,PFLANZE
IKSBAT,2,0,false,SCHEU,WAHLSCHAL,4,0,0,252,0,252,MATSCHBOMBE,WINDSCHNITT,FINSTERAURA,HITZEWELLE,PFLANZE
IKSBAT,1,0,false,HART,GIFTSCHLEIM,252,252,0,0,0,4,KONFUSTRAHL,KNIRSCHER,SUPERZAHN,GIFTZAHN,PFLANZE
GIFLOR,3,0,false,MAESSIG,SCHLOHKRAUT,4,0,0,252,0,252,MATSCHBOMBE,BLAETTERSTURM,BLITZ,ZAUBERSCHEIN,PFLANZE
GIFLOR,2,0,false,HART,GIFTSCHLEIM,4,252,0,0,0,252,SCHWERTTANZ,SAMENBOMBEN,MONDSCHEIN,RISIKOTACKLE,PFLANZE
GIFLOR,4,0,false,SCHEU,SONNEN_EI,4,0,0,252,0,252,SOLARSTRAHL,SONNENTAG,MATSCHBOMBE,METEOROLOGE,PFLANZE
GIFLOR,4,0,false,KUEHN,GIFTSCHLEIM,252,0,0,252,0,4,EGELSAMEN,TOXIN,VERWURZLER,BLAETTERSTURM,PFLANZE
BLUBELLA,3,0,false,MAESSIG,UEBERRESTE,4,0,0,252,0,252,FALTERREIGEN,ENERGIEBALL,MATSCHBOMBE,BLITZ,PFLANZE
BLUBELLA,1,0,false,HART,UEBERRESTE,4,252,0,0,0,252,FLUCH,SAMENBOMBE,DOPPELTEAM,KNUDDLER,PFLANZE
BLUBELLA,2,0,false,MAESSIG,WUNDERSAAT,4,0,0,252,0,252,DOPPELTEAM,SCHLAFPUDER,GIGASAUGER,ANZIEHUNG,PFLANZE
BLUBELLA,2,0,false,MAESSIG,SONNEN_EI,252,0,0,252,0,4,SOLARSTRAHL,SONNENTAG,METEOROLOGE,MONDGEWALT,PFLANZE
DIGDRI,4,0,true,FROH,WAHLBAND,4,252,0,0,0,252,NACHTHIEB,AERO_ASS,ERDBEBEN,STEINKANTE,PFLANZE
DIGDRI,3,0,false,HART,LEBEN_ORB,4,252,0,0,0,252,DUNKELKLAUE,ZERSCHNEIDER,ERDBEBEN,STEINKANTE,PFLANZE
DIGDRI,2,0,false,FROH,FOKUSGURT,4,252,0,0,0,252,GEOFISSUR,AUSDAUER,GEGENSCHLAG,ERDBEBEN,PFLANZE
DIGDRI,3,0,false,HART,FOKUSGURT,4,252,0,0,0,252,SCHWERTTANZ,ERDBEBEN,STEINKANTE,NACHTHIEB,PFLANZE
RASAFF,5,0,true,FROH,RASAFFNIT,4,252,0,0,0,252,NAHKAMPF,EISENSCHWEIF,STEINKANTE,EISHIEB,PFLANZE
RASAFF,2,0,true,HART,LEBEN_ORB,4,252,0,0,0,252,DONNERSCHLAG,FEUERSCHLAG,EISHIEB,KREUZHIEB,PFLANZE
RASAFF,2,0,true,HART,WAHLBAND,4,252,0,0,0,252,NAHKAMPF,ERDBEBEN,DUNKELKLAUE,SAMENBOMBE,PFLANZE
RASAFF,1,0,true,HART,UEBERRESTE,4,252,0,0,0,252,FLUCH,KONTER,KREUZHIEB,MEGAHIEB,PFLANZE
ARKANI,3,0,false,HART,HOLZKOHLE,4,252,0,0,0,252,TURBOTEMPO,FLAMMENBLITZ,DONNERZAHN,KNIRSCHER,PFLANZE
ARKANI,2,0,false,MAESSIG,SCHLOHKRAUT,4,0,0,252,0,252,HITZEKOLLER,DRACHENPULS,SCHALLWELLE,ANZIEHUNG,PFLANZE
ARKANI,4,0,false,HART,WAHLBAND,4,252,0,0,0,252,NAHKAMPF,FLAMMENBLITZ,DONNERZAHN,WUTANFALL,PFLANZE
ARKANI,1,0,false,HART,MARONBEERE,252,252,0,0,0,4,IRRLICHT,FLAMMENBLITZ,ERHOLUNG,ANZIEHUNG,PFLANZE
SIMSALA,5,0,false,SCHEU,WAHLGLAS,4,0,0,252,0,252,PSYCHOKINESE,BLITZ,TRICKBETRUG,FOKUSSTOSS,PFLANZE
SIMSALA,4,0,false,MAESSIG,LEBEN_ORB,4,0,0,252,0,252,GEDANKENGUT,PSYCHOKINESE,BLITZ,FOKUSSTOSS,PFLANZE
SIMSALA,3,0,false,MEASSIG,LICHTLEHM,252,0,0,252,0,4,GEDANKENGUT,PSYCHOKINESE,REFLEKTOR,LICHTSCHILD,PFLANZE
SIMSALA,2,0,false,HART,LEBEN_ORB,252,0,0,252,0,4,DONNERSCHLAG,FEUERSCHLAG,EISHIEB,ZEN_KOPFSTOSS,PFLANZE
MACHOMEI,4,0,false,HART,HEISS_ORB,252,252,0,0,0,4,NAHKAMPF,ERDBEBEN,STEINKANTE,EISHIEB,PFLANZE
MACHOMEI,4,0,false,HART,UEBERRESTE,4,252,0,0,0,252,NAHKAMPF,ERDBEBEN,PROTZER,PATRONENHIEB,PFLANZE
MACHOMEI,3,0,false,FROH,WAHLSCHAL,4,252,0,0,0,252,FEUERSCHLAG,DONNERSCHLAG,EISHIEB,KREUZHIEB,PFLANZE
MACHOMEI,3,0,false,HART,SCHWARZGURT,252,252,0,0,0,4,KONTER,DURCHBRUCH,GIFTHIEB,STEINKANTE,PFLANZE
SARZENIA,2,0,true,MILD,SCHLOHKRAUT,0,4,0,252,0,252,BLAETTERSTURM,MATSCHBOMBE,BLITZ,TIEFSCHLAG,PFLANZE
SARZENIA,2,0,false,SCHEU,SONNEN_EI,4,0,0,252,0,252,SOLARSTRAHL,SYNTHESE,MATSCHBOMBE,METEOROLOGE,PFLANZE
SARZENIA,2,0,false,HART,GIFTSCHLEIM,252,252,0,0,0,4,SCHWERTTANZ,LAUBKLINGE,KAEFERBISS,GIFTHIEB,PFLANZE
SARZENIA,1,0,false,MAESSIG,GIFTSCHLEIM,252,0,0,252,0,4,HORTER,ENTFESSLER,VERZEHRER,ENERGIEBALL,PFLANZE
TENTOXA,3,0,false,KUEHN,GIFTSCHLEIM,252,0,0,252,0,4,SURFER,MATSCHBOMBE,TOXIN,EISSTRAHL,PFLANZE
TENTOXA,2,0,false,MAESSIG,GIFTSCHLEIM,252,0,0,252,0,4,SPIEGELCAPE,GIGASAUGER,KONFUSTRAHL,SURFER,PFLANZE
TENTOXA,3,0,true,MAESSIG,LEBEN_ORB,4,0,0,252,0,252,EISSTRAHL,GIGASAUGER,SURFER,MATSCHBOMBE,PFLANZE
TENTOXA,2,0,true,HART,LEBEN_ORB,4,252,0,0,0,252,SCHWERTTANZ,GIFTHIEB,KASKADE,ZERSCHNEIDER,PFLANZE
GEOWAZ,3,0,false,HART,SALKABEERE,4,252,0,0,0,252,STEINPOLITUR,ERDBEBEN,STEINKANTE,DONNERSCHLAG,NORMAL
GEOWAZ,3,0,true,HART,UEBERRESTE,252,252,0,0,0,4,HAMMERARM,ERDBEBEN,STEINKANTE,EXPLOSION,NORMAL
GEOWAZ,1,0,false,HART,GROSSLINSE,252,252,0,0,0,4,WUCHTSCHLAG,STEINKANTE,EXPLOSION,ERDBEBEN,NORMAL
GEOWAZ,5,0,false,SOLO,GEOWAZNIT,252,252,0,0,0,4,ERUPTION,ERDBEBEN,STEINKANTE,EXPLOSION,NORMAL
GALOPPA,2,0,true,HART,LEBEN_ORB,4,252,0,0,0,252,FLAMMENBLITZ,VIELENDER,GIFTHIEB,EISENSCHWEIF,NORMAL
GALOPPA,1,0,true,HART,UEBERRESTE,252,252,0,0,0,4,MORGENGRAUEN,FLAMMENBLITZ,DOPPELKICK,HORNBOHRER,NORMAL
GALOPPA,2,1,false,FROH,GROSSLINSE,4,252,0,0,0,252,HYPNOSE,SCHWERTTANZ,FLAMMENBLITZ,KNUDDLER,NORMAL
GALOPPA,1,1,false,MAESSIG,SONNEN_EI,4,0,0,252,0,252,NITROLADUNG,SOLARSTRAHL,SONNENTAG,KRAFTRESERVE,ELEKTRO
LAHMUS,5,0,true,PFIFFIG,LAHMUSNIT,252,252,0,0,0,4,KASKADE,ZEN_KOPFSTOSS,BAUCHTROMMEL,EISHIEB,NORMAL
LAHMUS,3,0,false,KUEHN,UEBERRESTE,252,0,0,252,0,4,SURFER,PSYCHOKINESE,EISSTRAHL,TAGEDIEB,NORMAL
LAHMUS,2,0,false,KUEHN,UEBERRESTE,252,0,0,252,0,4,GEOFISSUR,GAEHNER,HYDROPUMPE,AMNESIE,NORMAL
LAHMUS,1,1,false,MAESSIG,GROSSLINSE,252,0,0,252,0,4,BLITZKANONE,HYDROPUMPE,BLIZZARD,DONNERWELLE,NORMAL
LASCHOKING,2,0,true,STILL,UEBERRESTE,252,0,0,0,252,0,PSYCHOKINESE,SURFER,DONNERWELLE,EISSTURM,NORMAL
LASCHOKING,1,0,true,HART,LEBEN_ORB,252,252,0,0,4,0,NASSSCHWEIF,ZEN_KOPFSTOSS,EISHIEB,DONNERSCHLAG,NORMAL
LASCHOKING,3,0,true,MAESSIG,UEBERRESTE,252,0,0,252,4,0,GEDANKENGUT,PSYCHOKINESE,SURFER,EISSTRAHL,NORMAL
LASCHOKING,2,0,false,MAESSIG,UEBERRESTE,252,0,0,252,4,0,FOKUSSTOSS,FLAMMENWURF,LEHMBRUEHE,DONNERWELLE,NORMAL
MAGNEZONE,3,0,false,HITZIG,SANANABEERE,252,0,0,252,0,4,LICHTKANONE,BLITZKANONE,EXPLOSION,AMPELLEUCHTE,NORMAL
MAGNEZONE,4,0,true,HITZIG,WAHLGLAS,4,0,0,252,0,252,LICHTKANONE,DONNERBLITZ,AMPELLEUCHTE,EXPLOSION,NORMAL
MAGNEZONE,2,0,true,MAESSIG,GEWITTER_EI,4,0,0,252,0,252,LICHTKANONE,DONNER,REGENTANZ,TRIPLETTE,NORMAL
MAGNEZONE,2,0,false,HITZIG,SANANABEERE,4,0,0,252,0,252,LICHTKANONE,DONNERBLITZ,EXPLOSION,DONNERWELLE,NORMAL
DODRI,2,1,false,FROH,SEIDENSCHAL,4,252,0,0,0,252,BOHRSCHNABEL,RISIKOTACKLE,STAHLFLUEGEL,VERFOLGUNG,NORMAL
DODRI,1,0,true,HART,TOXIK_ORB,4,252,0,0,0,252,STURZFLUG,FASSADE,SCHUTZSCHILD,NOTSITUATION,NORMAL
DODRI,1,0,false,HART,TSITRUBEERE,252,252,0,0,0,4,SCHWERTTANZ,STURZFLUG,RISIKOTACKLE,SPIEGELTRICK,NORMAL
JUGONG,4,0,true,MAESSIG,JUGONGNIT,252,0,0,252,0,4,SURFER,BLIZZARD,MOGELHIEB,AMPELLEUCHTE,NORMAL
JUGONG,2,0,true,KUEHN,BLIZZARD_EI,252,0,0,252,4,0,SCHUTZSCHILD,BLIZZARD,EISESKAELTE,ABGESANG,NORMAL
JUGONG,2,0,true,HART,UEBERRESTE,252,252,0,0,0,4,VIELENDER,EISSPLITTER,KASKADE,KNUDDLER,NORMAL
SLEIMOK,5,1,false,HART,SLEIMOKNIT,252,252,0,0,0,4,GIFTHIEB,EXPLOSION,ABSCHLAG,FEUERSCHLAG,NORMAL
SLEIMOK,2,1,false,HART,GIFTSCHLEIM,252,252,0,0,0,4,SCHATTENSTOSS,DONNERSCHLAG,LEIDTEILER,GIFTHIEB,NORMAL
SLEIMOK,2,1,false,HART,GIFTSCHLEIM,252,252,0,0,0,4,FLUCH,GIFTHIEB,TOXIN,SCHUTZSCHILD,NORMAL
SLEIMOK,4,1,false,MAESSIG,SLEIMOKNIT,252,0,0,252,0,4,MATSCHBOMBE,FINSTERAURA,GIGASAUGER,FEUERSTURM,NORMAL
AUSTOS,2,0,true,PFIFFIG,UEBERRESTE,252,252,0,0,0,4,EISSPLITTER,TAUCHER,EXPLOSION,TOXIN,NORMAL
AUSTOS,1,0,true,HITZIG,LEBEN_ORB,4,0,0,252,0,252,SURFER,EISSTRAHL,AMPELLEUCHTE,EXPLOSION,NORMAL
GENGAR,4,0,false,SCHEU,LEBEN_ORB,4,0,0,252,0,252,SPUKBALL,MATSCHBOMBE,PSYCHOKINESE,DONNERBLITZ,NORMAL
GENGAR,3,0,false,MILD,GIFTSCHLEIM,252,0,0,252,0,4,LEIDTEILER,DONNERWELLE,EXPLOSION,SPUKBALL,NORMAL
GENGAR,3,0,false,MILD,GIFTSCHLEIM,252,0,0,252,0,4,LEIDTEILER,IRRLICHT,FLUCH,SPUKBALL,NORMAL
GENGAR,4,0,false,MAESSIG,WAHLGLAS,4,0,0,252,0,252,SPUKBALL,DONNERBLITZ,FOKUSSTOSS,ZAUBERSCHEIN,NORMAL
GENGAR,4,0,true,MAESSIG,FOKUSGURT,4,0,0,252,0,252,SPUKBALL,GIGASAUGER,HYPNOSE,TRAUMFRESSER,NORMAL
STAHLOS,2,1,false,HART,UEBERRESTE,252,252,4,0,0,0,ERDBEBEN,EISENSCHWEIF,STAERKE,NASSSCHWEIF,NORMAL
STAHLOS,3,1,false,HART,UEBERRESTE,252,252,4,0,0,0,ERDBEBEN,DRACHENTANZ,EISZAHN,EISENSCHWEIF,NORMAL
STAHLOS,3,0,true,HART,SAND_EI,252,252,4,0,0,0,ERDBEBEN,SANDSTURM,EXPLOSION,STEINKANTE,NORMAL
STAHLOS,2,0,false,HART,TSITRUBEERE,252,252,4,0,0,0,ERDBEBEN,FLUCH,KNIRSCHER,DONNERZAHN,NORMAL
HYPNO,2,0,false,MILD,LEBEN_ORB,4,252,0,252,0,4,PSYCHOKINESE,SPUKBALL,EISHIEB,WUCHTSCHLAG,NORMAL
HYPNO,2,0,false,MAESSIG,WAHLGLAS,4,0,0,252,0,252,PSYCHOKINESE,SPUKBALL,FOKUSSTOSS,AMPELLEUCHTE,NORMAL
HYPNO,1,0,false,MAESSIG,MARONBEERE,252,0,0,252,0,4,HYPNOSE,TRAUMFRESSER,ERHOHLUNG,NACHTMAHR,NORMAL
HYPNO,1,0,false,HART,UEBERRESTE,252,252,0,0,0,4,FLUCH,ZEN_KOPFSTOSS,DONNERSCHLAG,EISHIEB,NORMAL
HYPNO,1,0,false,HART,PRUNUSBEERE,252,252,0,0,0,4,ANGEBEREI,PSYCHO_PLUS,DURCHBRUCH,ZEN_KOPFSTOSS,NORMAL
KINGLER,2,0,false,HART,WAHLBAND,4,252,0,0,0,252,KRABHAMMER,KRAFTKOLOSS,ZERSCHNEIDER,KREUZSCHERE,NORMAL
KINGLER,2,0,false,HART,FOKUS_BAND,4,252,0,0,0,252,ABSCHLAG,SCHWERTTANZ,KRABBHAMMER,ZERSCHNEIDER,NORMAL
KINGLER,2,0,false,HART,UEBERRESTE,252,252,0,0,0,4,FLUCH,KRABBHAMMER,ABSCHLAG,METALLKLAUE,NORMAL
KINGLER,2,0,false,PFIFFIG,TSITRUBEERE,252,252,4,0,0,0,GUILLOTINE,ANGEBEREI,ABSCHLAG,KRABBHAMMER,NORMAL
LEKTROBALL,1,0,true,HITZIG,SCHWARZPULVER,0,4,0,252,0,252,EXPLOSION,REGENTANZ,DONNER,AMPELLEUCHTE,NORMAL
LEKTROBALL,2,0,true,HITZIG,SCHWARZPULVER,0,4,0,252,0,252,DONNERBLITZ,EXPLOSION,DONNERWELLE,TIEFSCHLAG,NORMAL
KOKOWEI,3,0,false,MAESSIG,SONNEN_EI,4,0,0,252,0,252,SOLARSTRAHL,SONNENTAG,SYNTHESE,PSYCHOKINESE,NORMAL
KOKOWEI,3,0,false,HITZIG,LEBEN_ORB,0,4,0,252,0,252,EXPLOSION,ENERGIEBALL,MATSCHBOMBE,ANTIK_KRAFT,NORMAL
KOKOWEI,1,0,true,HART,TSITRUBEERE,4,252,0,0,0,252,SCHWERTTANZ,EXPLOSION,ERDBEBEN,SAMENBOMBE,NORMAL
KOKOWEI,3,0,true,MAESSIG,TSITRUBEERE,4,0,0,252,0,252,GEDANKENGUT,EGELSAMEN,HYPNOSE,GIGASAUGER,NORMAL
KOKOWEI,3,0,false,MAESSIG,SONNEN_EI,4,0,0,252,0,252,BLAETTERSTURM,PSYCHOKINESE,BLITZ,SONNENTAG,NORMAL
KNOGGA,2,0,false,HART,KAMPFKNOCHEN,4,252,0,0,0,252,ERDBEBEN,SCHWERTTANZ,STEINKANTE,FEUERSCHLAG,NORMAL
KNOGGA,2,0,false,HART,KAMPFKNOCHEN,4,252,252,0,0,4,ERDBEBEN,ABSCHLAG,KRAXLER,EISHIEB,NORMAL
KNOGGA,1,0,false,PFIFFIG,UEBERRESTE,252,252,4,0,0,0,ERDBEBEN,BAUCHTROMMEL,STEINKANTE,WUTANFALL,NORMAL
KNOGGA,2,0,false,PFIFFIG,UEBERRESTE,252,4,252,0,0,0,GEOFISSUR,SCHUTZSCHILD,DOPPELTEAM,ABGESANG,NORMAL
KICKLEE,2,0,false,HART,WAHLBAND,4,252,0,0,0,252,FEUERFEGER,NAHKAMPF,ABSCHLAG,STEINKANTE,NORMAL
KICKLEE,1,0,false,HART,PRUNUSBEERE,4,252,0,0,0,252,AUSDAUER,GEGENSCHLAG,GIFTHIEB,DURCHBRUCH,NORMAL
KICKLEE,2,0,false,HART,GROSSLINSE,4,252,0,0,0,252,PATRONENHIEB,TEMPOHIEB,VERFOLGUNG,WUCHTSCHLAG,NORMAL
KICKLEE,1,0,false,HART,LEBEN_ORB,252,252,4,0,0,0,WILLENSLESER,WUCHTSCHLAG,STEINKANTE,SCHWERTTANZ,NORMAL
NOCKCHAN,2,0,false,HART,LEBEN_ORB,4,252,0,0,0,252,TEMPOHIEB,PATRONENHIEB,DONNERSCHLAG,EISHIEB,NORMAL
NOCKCHAN,2,0,false,HART,PRUNUSBEERE,4,252,0,0,0,252,HIMMELHIEB,DONNERSCHLAG,FEUERSCHLAG,EISHIEB,NORMAL
NOCKCHAN,1,0,false,FROH,FOKUSGURT,4,252,0,0,0,252,DOPPELTEAM,POWER_PUNCH,IRRSCHLAG,ZUGABE,NORMAL
NOCKCHAN,2,0,false,HART,LEBEN_ORB,4,252,0,0,0,252,SCHWERTTANZ,DURCHBRUCH,PATRONENHIEB,MOGELHIEB,NORMAL
KAPOERA,2,0,false,HART,KAMPFJUWEL,4,252,0,0,0,252,MOGELHIEB,TEMPOHIEB,PATRONENHIEB,AERO_ASS,NORMAL
KAPOERA,1,0,false,HART,UEBERRESTE,4,252,0,0,0,252,FLUCH,ERHOHLUNG,SCHLAFREDE,DURCHBRUCH,NORMAL
KAPOERA,2,0,false,HART,MARONBEERE,4,252,0,0,0,252,ERHOHLUNG,KONTER,TEMPOHIEB,NAHKAMPF,NORMAL
SCHLURPLEK,3,0,false,HART,TISTRUBEERE,252,252,0,0,0,4,BAUCHTROMMEL,ERDBEBEN,FRUSTRATION,STAERKE,NORMAL
SCHLURPLEK,2,0,false,HART,UEBERRESTE,252,252,0,0,0,4,HAMMERARM,DONNERSCHLAG,MEGAHIEB,FEUERSCHLAG,NORMAL
SCHLURPLEK,2,0,false,PFIFFIG,UEBERRESTE,252,252,4,0,0,0,BODYSLAM,EISHIEB,EXPLOSION,SCHWERTTANZ,NORMAL
SCHLURPLEK,2,0,false,HART,SEIDENSCHAL,252,252,4,0,0,0,EXPLOSION,BODYSLAM,ERDBEBEN,ZEN_KOPFSTOSS,NORMAL
SCHLURPLEK,3,0,false,HITZIG,LEBEN_ORB,0,252,0,252,0,4,DONNERBLITZ,FRUSTRATION,FLAMMENWURF,FOKUSSTOSS,NORMAL
SMOGMOG,3,0,false,LOCKER,GIFTSCHLEIM,252,0,252,4,0,4,EXPLOSION,IRRLICHT,MATSCHBOMBE,FLAMMENWURF,NORMAL
SMOGMOG,2,0,false,LOCKER,GIFTSCHLEIM,4,0,252,252,0,0,MATSCHBOMBE,FLAMMENWURF,DONNERBLITZ,FINSTERAURA,NORMAL
SMOGMOG,2,0,false,LOCKER,GIFTSCHLEIM,4,252,252,0,0,0,EXPLOSION,FLUCH,FRUSTRATION,TOXIN,NORMAL
SMOGMOG,3,0,false,LOCKER,GIFTSCHLEIM,252,4,252,0,0,0,EXPLOSION,MATSCHBOMBE,LEIDTEILER,FLAMMENWURF,NORMAL
RIZEROS,3,1,false,HART,EVOLITH,252,252,4,0,0,0,HORNBOHRER,ERDBEBEN,VIELENDER,STEINKANTE,NORMAL
RIZEROS,3,1,false,HART,EVOLITH,4,252,0,0,0,252,STEINPOLITUR,KRAFTKOLOSS,ERDBEBEN,STEINKANTE,NORMAL
RIHORNIOR,3,1,false,HART,SAIMBEERE,4,252,252,0,0,0,ERDBEBEN,STEINKANTE,VIELENDER,EISHIEB,NORMAL
